,dtr_base_no_cv,dtr_eng_no_cv,dtr_eng_cv,dtr_clus_no_cv,dtr_clus_cv,rfr_eng_no_cv,rfr_eng_cv,rfr_clus_no_cv,rfr_clus_cv,xgbr_eng_no_cv,xgbr_eng_cv,xgbr_clus_no_cv,xgbr_clus_cv,catbr_eng_no_cv,linreg_eng_no_cv,linreg_eng_cv,linreg_clus_no_cv,linreg_clus_cv,lasso_eng_no_cv,lasso_eng_cv,lasso_clus_no_cv,lasso_clus_cv,ridge_eng_no_cv,ridge_eng_cv,ridge_clus_no_cv,ridge_clus_cv,knn_eng_no_cv,knn_eng_cv,knn_clus_no_cv,knn_clus_cv,mlp_eng_no_cv,mlp_eng_cv,mlp_clus_no_cv,mlp_clus_cv,svr_eng_no_cv,svr_eng_cv,svr_clus_no_cv,svr_clus_cv,catbr_eng_cv,catbr_clus_no_cv,catbr_clus_cv
R2 Score Train,1.0,0.9999554776962877,0.9302128716742465,0.9999609324671371,0.8763798690028343,0.9827488940359838,0.9828205689424705,0.9825238678169114,0.9822623249032912,0.9984029622701397,0.9778106849678052,0.9996193173193227,0.9383685240749,0.9804253483679094,0.8735610555359353,0.8853205770001895,0.8745223372305779,0.8853614339629582,0.0,0.8845378675600607,0.0,0.8808204592380463,0.8733146481476872,0.8828730544415517,0.8745133466235553,0.8830094188987383,0.9086029724689377,0.9999554776962877,0.9048080636769184,0.9999609324671371,0.814483514798996,0.8494071138191076,0.813873632615772,0.8584672804104954,0.9199674654476626,0.9089847537064368,0.9215731102516201,0.9152322525658664,0.9773404993302255,0.9858192819828971,0.9706928104945501
R2 Score Validation,0.6738737789301805,0.7447346663994373,0.8367997245607072,0.7691099102619444,0.84105929706822,0.887390102275349,0.8905349916190134,0.8876157007481373,0.8843426483959874,0.8758540844551188,0.8937528120423809,0.8703244087837888,0.8857705047289604,0.8922590873806625,0.8882192255820051,0.8985048301078944,0.8884815288109937,0.8980334805969744,-0.013283689509458574,0.8993782906514142,-0.013283689509458574,0.8956051870118644,0.8884028538880272,0.897324536909335,0.888440889577608,0.8960295558668085,0.8704206263738645,0.8726427504419259,0.8592406650889539,0.8570090934826678,0.7874129205354432,0.8519551335370206,0.736704987931731,0.8250780914917762,0.8917740546594217,0.8989635182897936,0.8890829891326116,0.8990266692643045,0.9008581354473766,0.8892298307566026,0.8920617656782693
RMSE Train,0.0,0.0026309101449603894,0.10416093402504448,0.0024644794136538645,0.13863146139333687,0.05178758666431253,0.0516798911348247,0.05212425516412383,0.05251284520380872,0.015757045529134123,0.05873394195877425,0.007693053649255341,0.09788552754462898,0.05516507621512007,0.14020310521487242,0.13352418974629768,0.13966912487523392,0.13350040222324985,0.39429130650263217,0.1339790792140808,0.39429130650263217,0.1361187823560643,0.14033965438472257,0.1349415239822494,0.13967412850573993,0.13486294861009127,0.11920191636835217,0.0026309101449603894,0.1216514478691751,0.0024644794136538645,0.16982767165683293,0.15300986433482833,0.1701065953480205,0.1483356802560052,0.11154509740684582,0.11895269229237347,0.11042049704407608,0.11479752449470482,0.05935295819452499,0.04695332067642463,0.06750008006264706
RMSE Validation,0.23790973173885108,0.21048214834446222,0.1682983243198602,0.20018060361582507,0.16608748657197633,0.13980014769135696,0.1378342049556399,0.13966004228251383,0.14167915887770674,0.14678631437902487,0.13579321491808044,0.15001976007095844,0.14080188763142698,0.13674443877737447,0.1392845371173665,0.13272173050264566,0.13912101954373202,0.13302955726850382,0.41935794383622765,0.13214939937885187,0.41935794383622765,0.13460426115229038,0.139170084983786,0.1334912142148997,0.13914636627119764,0.13433039685073148,0.14996409339461622,0.1486726846934731,0.1562996304769769,0.15753373065586518,0.19208249180524314,0.1602935415933874,0.21376700083226613,0.17423742805152634,0.13705189416461705,0.13242148554167485,0.13874534679133887,0.13238009527927383,0.13117403846123812,0.13865347477172296,0.13686960154878555
